Intended_Element,Comment,Code
button,find a button using tagname,"driver.findElement(By.tagName(""button""));"
button,"locate a button having name = ""submit""","driver.findElement(By.name(""submit""));"
button,"find a button using id = ""btnId""","driver.findElement(By.id(""btnId""));"
button,find an element having xpath = /html/body/div[1]/div/div[1]/button,"driver.findElement(By.xpath(""/html/body/div[1]/div/div[1]/button""));"
button,"find a button using class name=""btnCls""","driver.findElement(By.className(""btnCls""));"
button,"find an element with cssSelector = ""._6ltg > button""","driver.findElement(By.cssSelector(""._6ltg > button""));"
button,Locate a button using tagname and store it in a variable,"driver.findElement(By.tagName(""button""));"
button,"Locate a button with name = ""sbmtBtn""  and store it in a variable","WebElement btnElem = driver.findElement(By.tagName(""button""));"
button,"Locate a button having id = ""inBtnId""  and assign it to a variable = ""sbmtBtn""","WebElement sbmtBtn = driver.findElement(By.id(""inBtnId""));"
button,"find a button using xpath = ""//button[text()[contains(.,'GO')]]""  and assign it to a variable","WebElement btnElem = driver.findElement(By.xpath(""//button[text()[contains(.,'GO')]]""));"
button,Locate a button,"driver.findElement(By.tagName(""button""));"
button,"find a button with class name = ""btnCls""  and assign it to a variable = ""myBtn""","WebElement myBtn = driver.findElement(By.className(""btnCls""));"
button,find a button using cssSelector  and store in a variable,"WebElement btnElem = driver.findElement(By.cssSelector(""button""));"
button,"find a button using tagname and store in a variable = ""btnVar"" and click on it","WebElement btnVar = driver.findElement(By.tagName(""button""));
btnVar.click();"
button,"Press the button with id = ""btnId""","driver.findElement(By.id(""btnId"")).click();"
button,Search for a button using name  and store in a variable and click on it,"WebElement myBtn = driver.findElement(By.name(""submtBtn""));
myBtn.click();"
button,find a button using id  and store in a variable and click on it,"WebElement myBtnWId = driver.findElement(By.id(""submtBtnId""));
myBtnWId.click();"
button,"find a button using xpath=""//button""  and store in a variable with name =""myBtn"" and click on it","WebElement myBtn = driver.findElement(By.xpath(""//button""));
myBtn.click();"
button,"locate a button using class name  and store in a variable having name = ""btnElem"" and click on it","WebElement btnElem = driver.findElement(By.className(""sbmtCls""));
btnElem.click();"
button,find a button using cssSelector and store in a variable and click on it,"buttonWebElement btnElem = driver.findElement(By.cssSelector(""button""));
btnElem.click();"
button,find a button using tagname and click on it,"driver.findElement(By.tagName(""button"")).click();"
button,"find a button with name = ""sbmtBtn"" and click on it","driver.findElement(By.name(""sbmtBtn"")).click();"
button,find a button using id  and click on it,"driver.findElement(By.id(""btnId"")).click();"
button,locate a button using xpath  and click on it,"driver.findElement(By.xpath(""//button"")).click();"
button,find a button using class name  and click on it,"driver.findElement(By.className(""btnCls"")).click();"
button,find a button using cssSelector  and click on it,"driver.findElement(By.cssSelector(""button.btnCls"")).click();"
button,"Click on a button with value = ""Click here""","driver.findElement(By.xpath(""//button[@value='Click here']"")).click();"
input text,Find a text input using tag name,"driver.findElement(By.tagName(""input""));"
input text,"find  an input with id = ""inId""","driver.findElement(By.id(""inId""));"
input text,"Locate an input text having class name = ""inCls""","driver.findElement(By.className(""inCls""));"
input text,Search for an element having xpath = //input[@type='text'],"driver.findElement(By.xpath(""//input[@type='text']""));"
input text,Find an input text using cssSelector = input#id1,"driver.findElement(By.cssSelector(""input#id1""));"
input text,Find a text input using tag name and clear its existing contents,"driver.findElement(By.tagName(""input"")).clear();"
input text,"find  an input with id = ""inId"" and click on it","driver.findElement(By.id(""inId"")).click();"
input text,"Locate an input text having class name = ""inCls"" clear its contents","driver.findElement(By.className(""inCls"")).clear();"
input text,"Search for an input having xpath = //input[@type='text'] and set its value to ""xyz""","driver.findElement(By.xpath(""//input[@type='text']"")).sendKeys(""xyz"");"
input text,Find an input text using cssSelector = input.inCls and store it in a variable,"WebElement inElem = driver.findElement(By.cssSelector(""input.inCls""));"
input text,"Find a text input using tag name and store it in a variable and populate it with text ""hello""","WebElement inElem = driver.findElement(By.tagName(""input""));
inElem.sendKeys(""hello"");"
input text,"find  an input with id = ""email "" and store it in a variable and clear its contents","WebElement inElem = driver.findElement(By.id(""email""));
inElem.clear();"
input text,"Locate an input text with class name = ""pswdCls"" and click on it","driver.findElement(By.className(""pswdCls"")).click();"
input text,"Find an element with xpath = /html/body/div[1]/div/div[1]/input and store it in a variable and set it to ""test""","WebElement inElem = driver.findElement(By.xpath(""/html/body/div[1]/div/div[1]/input""));
inElem.sendKeys(""test"");"
anchor,Find a hyperlink with tagname,"driver.findElement(By.tagName(""a""));"
anchor,"Find a link with text = ""Button""","driver.findElement(By.linkText(""a""));"
